stop_id,latitude,longitude
102000046,37.5399994643,126.9690615428
102000047,37.5386139009,126.9669290534
102000048,37.5374620591,126.9654677888
102000049,37.5363187485,126.9636632444
102000050,37.5362374410,126.9629911361
102000051,37.5349338369,126.9610704217
102000052,37.5340407624,126.9581798302
102000053,37.5337957151,126.9583248022
102000054,37.5441159432,126.9886645749
102000055,37.5398743674,126.9874799728
102000056,37.5398054732,126.9871086322
102000057,37.5378177390,126.9866090870
102000058,37.5373177108,126.9868496115
102000059,37.5303030000,126.9911630000
102000060,37.5294095764,126.9911698907
102000061,37.5254587536,126.9921715396
102000062,37.5245025908,126.9924287738
102000063,37.5200464191,126.9899502397
102000064,37.5457950000,127.0022020000
102000065,37.5444370000,127.0020400000
102000066,37.5416918639,127.0033851827
102000067,37.5411791533,127.0031508133
102000068,37.5364422432,127.0057302453
102000069,37.5356114027,127.0062993526
102000070,37.5357934643,127.0054993584
102000071,37.5354906847,127.0057290409
102000072,37.5328478217,127.0083126426
102000073,37.5522820000,126.9808350000
102000074,37.5520442521,126.9811340112
102000075,37.5486900000,126.9843200000
102000076,37.5483952630,126.9841668777
102000077,37.5463968458,126.9858399758
102000078,37.5462454364,126.9857643613
102000079,37.5427038827,126.9927901963
102000080,37.5425047481,126.9929169610
102000081,37.5417535527,126.9961358368
102000082,37.5408661030,126.9974258076
102000083,37.5406368923,126.9584647114
102000084,37.5402999129,126.9585520334
102000085,37.5392719714,126.9618971064
102000086,37.5388284845,126.9626978558
102000087,37.5384268178,126.9649997667
102000088,37.5382950000,126.9646480000
102000089,37.5376607152,126.9669923459
102000090,37.5347586674,126.9768577525
102000091,37.5346511680,126.9753831458
102000092,37.5351069553,126.9851183494
102000093,37.5347582183,126.9853046955
102000094,37.5343830489,126.9904706555
102000095,37.5341127106,126.9900096398
102000096,37.5345520000,126.9930430000
102000097,37.5343539681,126.9934293088
102000098,37.5347900000,126.9963870000
102000099,37.5345820000,126.9968120000
102000100,37.5370458894,127.0004667254
102000101,37.5367073033,127.0006042579
102000102,37.5408050000,127.0016950000
102000103,37.5409291837,127.0020254103
102000104,37.5536168846,126.9738943742
102000105,37.5525408404,126.9765772255
102000106,37.5506891863,126.9770644706
102000107,37.5497467332,126.9775446282
102000108,37.5466597949,126.9781855672
102000109,37.5472050000,126.9782250000
102000110,37.5466989277,126.9809588102
102000111,37.5457400000,126.9775630000
102000112,37.5457720000,126.9765720000
102000113,37.5455050000,126.9757320000
102000114,37.5451241168,126.9732353840
102000115,37.5454090000,126.9739620000
102000116,37.5379429734,127.0122607528
102000117,37.5377041394,127.0126714787
